domain,practice_id,short_id,level,title,description
General provisions,General provisions,DORA.A1,,Article 1 – Subject matter,"Placeholder for Article 1."
General provisions,General provisions,DORA.A2,,Article 2 – Scope,"Placeholder for Article 2."
General provisions,General provisions,DORA.A3,,Article 3 – Definitions,"Placeholder for Article 3."
General provisions,General provisions,DORA.A4,,Article 4 – Proportionality principle,"Placeholder for Article 4."
ICT risk management,ICT risk management,DORA.A5,,Article 5 – Governance and organisation,"Placeholder for Article 5."
ICT risk management,ICT risk management,DORA.A6,,Article 6 – ICT risk management framework,"Placeholder for Article 6."
ICT risk management,ICT risk management,DORA.A7,,Article 7 – ICT systems, protocols and tools,"Placeholder for Article 7."
ICT risk management,ICT risk management,DORA.A8,,Article 8 – Identification,"Placeholder for Article 8."
ICT risk management,ICT risk management,DORA.A9,,Article 9 – Protection and prevention,"Placeholder for Article 9."
ICT risk management,ICT risk management,DORA.A10,,Article 10 – Detection,"Placeholder for Article 10."
ICT risk management,ICT risk management,DORA.A11,,Article 11 – Response and recovery,"Placeholder for Article 11."
ICT risk management,ICT risk management,DORA.A12,,Article 12 – Backup policies and procedures, restoration and recovery procedures and methods,"Placeholder for Article 12."
ICT risk management,ICT risk management,DORA.A13,,Article 13 – Learning and evolving,"Placeholder for Article 13."
ICT risk management,ICT risk management,DORA.A14,,Article 14 – Communication,"Placeholder for Article 14."
ICT risk management,ICT risk management,DORA.A15,,Article 15 – Further harmonisation of ICT risk management tools, methods, processes and policies,"Placeholder for Article 15."
ICT risk management,ICT risk management,DORA.A16,,Article 16 – Simplified ICT risk management framework,"Placeholder for Article 16."
"ICT-related incident management, classification and reporting","ICT-related incident management, classification and reporting",DORA.A17,,Article 17 – ICT-related incident management process,"Placeholder for Article 17."
"ICT-related incident management, classification and reporting","ICT-related incident management, classification and reporting",DORA.A18,,Article 18 – Classification of ICT-related incidents and cyber threats,"Placeholder for Article 18."
"ICT-related incident management, classification and reporting","ICT-related incident management, classification and reporting",DORA.A19,,Article 19 – Reporting of major ICT-related incidents and voluntary notification of significant cyber threats,"Placeholder for Article 19."
"ICT-related incident management, classification and reporting","ICT-related incident management, classification and reporting",DORA.A20,,Article 20 – Harmonisation of reporting content and templates,"Placeholder for Article 20."
"ICT-related incident management, classification and reporting","ICT-related incident management, classification and reporting",DORA.A21,,Article 21 – Centralisation of reporting of major ICT-related incidents,"Placeholder for Article 21."
"ICT-related incident management, classification and reporting","ICT-related incident management, classification and reporting",DORA.A22,,Article 22 – Supervisory feedback,"Placeholder for Article 22."
"ICT-related incident management, classification and reporting","ICT-related incident management, classification and reporting",DORA.A23,,Article 23 – Operational or security payment-related incidents concerning credit institutions, payment institutions, account information service providers, and electronic money institutions,"Placeholder for Article 23."
Digital operational resilience testing,Digital operational resilience testing,DORA.A24,,Article 24 – General requirements for the performance of digital operational resilience testing,"Placeholder for Article 24."
Digital operational resilience testing,Digital operational resilience testing,DORA.A25,,Article 25 – Testing of ICT tools and systems,"Placeholder for Article 25."
Digital operational resilience testing,Digital operational resilience testing,DORA.A26,,Article 26 – Advanced testing of ICT tools, systems and processes based on TLPT,"Placeholder for Article 26."
Digital operational resilience testing,Digital operational resilience testing,DORA.A27,,Article 27 – Requirements for testers for the carrying out of TLPT,"Placeholder for Article 27."
Managing of ICT third-party risk,Managing of ICT third-party risk,DORA.A28,,Article 28 – General principles,"Placeholder for Article 28."
