short_id,practice_id,domain,level,title,description
PERF.DESIGN.1,PERF.DESIGN.1,Performance & Quality,1,Informal understanding of system expectations,"Teams have a rough, undocumented view of what “good enough” performance and quality looks like for their systems. Expectations vary by individual and are rarely written down. There is little link between system behaviour and business outcomes."
PERF.DESIGN.2,PERF.DESIGN.2,Performance & Quality,2,Basic non functional expectations captured,"Key systems have simple, documented expectations for response time, error rates and data quality. These are usually captured in design docs or tickets but not consistently reviewed. Business stakeholders are aware of the expectations but do not actively manage to them."
PERF.DESIGN.3,PERF.DESIGN.3,Performance & Quality,3,Defined quality attributes for key services,"Important services have agreed quality attributes such as performance, reliability and data accuracy tied to user journeys. These attributes are documented, reviewed at least annually and used to guide design and acceptance criteria. Trade offs are explicit and risk based."
PERF.DESIGN.4,PERF.DESIGN.4,Performance & Quality,4,Outcome driven design standards,"Design standards require engineers to consider performance, quality and resilience up front for new or changed services. Architectural reviews check evidence that quality attributes are addressed using patterns that have worked in production. Business and technology collaborate to balance speed and quality based on risk."
PERF.DESIGN.5,PERF.DESIGN.5,Performance & Quality,5,Continuous evolution of quality expectations,"Quality attributes and service expectations are regularly refined using real operational and user experience data. Scenario analysis and experiments are used to validate whether designs will hold up under new business models, channels or regulations. The organisation can show how design decisions today anticipate future resilience needs."
PERF.TEST.1,PERF.TEST.1,Performance & Quality,1,Manual testing by individuals,"Testing is mostly manual and informal, done by developers or a small test team before releases. Coverage is patchy and relies heavily on individual knowledge. Regression issues are common after changes."
PERF.TEST.2,PERF.TEST.2,Performance & Quality,2,Basic scripted and acceptance testing,"Key user flows have simple test scripts or checklists that are followed during changes. Unit tests exist for some components, often driven by individual developers. Testing is repeatable but still largely manual and not risk based."
PERF.TEST.3,PERF.TEST.3,Performance & Quality,3,Automated regression and integration testing,"Automated tests cover core business logic, key integrations and common failure paths. Tests run as part of the build or deployment pipeline and must pass before promotion to production. Coverage and failed tests are tracked, with defects feeding a visible backlog."
PERF.TEST.4,PERF.TEST.4,Performance & Quality,4,Risk based and performance aware testing,"Testing strategy is tailored by risk, with higher risk services getting deeper functional, performance and negative path testing. Load and performance tests are integrated into pipelines for critical systems. Test results are monitored over time to identify trends and weak spots."
PERF.TEST.5,PERF.TEST.5,Performance & Quality,5,Continuous validation in and before production,"The organisation uses techniques like feature flags, canary releases and synthetic monitoring to continuously validate behaviour with real traffic. Test suites are regularly updated based on incident learnings and new failure modes. Teams can demonstrate that quality checks evolve as the system and threat landscape change."
PERF.OBS.1,PERF.OBS.1,Performance & Quality,1,Local logs and basic health checks,"Individual teams enable local logs and simple health checks, but coverage varies widely. There is no standard for what is logged and it is hard to get a system wide view of performance or errors. Troubleshooting relies on logging into servers or reading application logs manually."
PERF.OBS.2,PERF.OBS.2,Performance & Quality,2,Central logs for critical systems,"Critical applications send logs to a central platform, usually for security or audit reasons. Some dashboards or searches exist, but they are not consistently maintained. Performance metrics are monitored for a few key components, often infrastructure rather than end user experience."
PERF.OBS.3,PERF.OBS.3,Performance & Quality,3,Standardised observability for key services,"Key services emit standard logs, metrics and alerts that allow teams to see request rates, latency, errors and saturation. Dashboards exist for core user journeys, with alerts for defined thresholds. Teams use these views during incidents and regular service reviews."
PERF.OBS.4,PERF.OBS.4,Performance & Quality,4,End to end performance and user experience monitoring,"The organisation can trace performance from end user to back end, including APIs and data platforms. Synthetic tests and real user monitoring are in place for critical journeys. Performance regressions after changes are detected quickly and linked back to specific deployments or configuration changes."
PERF.OBS.5,PERF.OBS.5,Performance & Quality,5,Data driven optimisation of performance and quality,"Product and engineering teams use observability data to continuously optimise performance and quality in line with business priorities. They experiment, set improvement targets and measure impact on users and operations. Cross system metrics help identify systemic issues, not just local ones."
PERF.DEFECT.1,PERF.DEFECT.1,Performance & Quality,1,Defects tracked inconsistently,Defects are recorded in ad hoc ways or kept in personal lists. Severity and impact are not consistently assessed. Technical debt is rarely captured except in developer notes.
PERF.DEFECT.2,PERF.DEFECT.2,Performance & Quality,2,Basic defect backlog for key systems,"Defects for important systems are logged in a shared tool with severity and priority fields. There is some effort to group and triage issues, but backlogs can become cluttered or stale. Technical debt items are captured sporadically."
PERF.DEFECT.3,PERF.DEFECT.3,Performance & Quality,3,Managed backlog and debt register,"Defects and technical debt are recorded in a structured backlog with clear owners, priorities and target fix windows. Risk and customer impact are considered during triage. Teams review their backlog regularly and can show what they plan to fix versus accept as known risk."
PERF.DEFECT.4,PERF.DEFECT.4,Performance & Quality,4,Risk based remediation and trend tracking,"The organisation tracks trends in defects, incidents and customer complaints and uses this to focus remediation. Technical debt is logged with clear risk descriptions and is included in planning and funding conversations. High risk items have time bound remediation plans that are actively monitored."
PERF.DEFECT.5,PERF.DEFECT.5,Performance & Quality,5,Systemic quality and debt management,"Defect and debt data is used to identify systemic issues in architecture, tooling or ways of working. Senior leaders review quality risk alongside other business risks. The organisation can evidence the impact of sustained investment in quality and show that the overall risk profile is improving."
PERF.REL.1,PERF.REL.1,Performance & Quality,1,Uncontrolled releases and hotfixes,Releases are done manually with little documentation or approval. Hotfixes are common and often made directly in production. There is limited traceability of what changed and when.
PERF.REL.2,PERF.REL.2,Performance & Quality,2,Basic release checklist and approvals,Releases follow a simple checklist and require sign off from a product or technical lead. Some changes are grouped into release windows. Rollback is possible but not often rehearsed.
PERF.REL.3,PERF.REL.3,Performance & Quality,3,Standardised build and deployment process,"Most services use a defined build and deployment process with version control, peer review and promotion through environments. Releases are logged, with clear links to change tickets and test evidence. Rollback procedures are documented and known."
PERF.REL.4,PERF.REL.4,Performance & Quality,4,"Automated, low risk deployments","Automated pipelines perform builds, tests and deployments for key services. Smaller, more frequent releases reduce change risk. Techniques like blue green or canary deployments are used for higher risk systems. Change success rates and change related incidents are tracked."
PERF.REL.5,PERF.REL.5,Performance & Quality,5,Continuous delivery with built in safety,"Teams can deploy when needed without central release gates, using guardrails and automated checks. Business and technology jointly decide where to increase or decrease release frequency based on risk and value. The deployment process is regularly improved using incident and performance data."
AVAIL.SLO.1,AVAIL.SLO.1,Availability & Reliability,1,No formal service level objectives,Availability is discussed informally in terms like “always on” without clear targets. Outages are judged case by case. There is no shared definition of what counts as downtime for key services.
AVAIL.SLO.2,AVAIL.SLO.2,Availability & Reliability,2,Uptime targets for some services,"Some critical services have simple uptime targets or SLAs, usually defined in contracts or internal documents. Measurement is approximate and often based on incident records rather than continuous monitoring."
AVAIL.SLO.3,AVAIL.SLO.3,Availability & Reliability,3,Defined and monitored SLOs for key services,"For important services, service level objectives and error budgets are agreed and measured using monitoring data. SLOs are defined in terms of user experience where possible. Breaches trigger review and discussions about prioritising reliability work."
AVAIL.SLO.4,AVAIL.SLO.4,Availability & Reliability,4,Reliability managed as a product concern,"Product and engineering teams treat reliability as a feature, planning work to maintain SLOs based on error budget consumption. Trade offs between new features and reliability are explicit. SLOs are reviewed regularly as usage patterns and business priorities change."
AVAIL.SLO.5,AVAIL.SLO.5,Availability & Reliability,5,"Adaptive, ecosystem aware reliability goals","SLOs account for dependencies on third party services, networks and data providers. Scenario analysis is used to set realistic but stretching reliability goals. The organisation can explain how its reliability posture supports wider ecosystem resilience, such as critical national infrastructure or partner supply chains."
AVAIL.ARCH.1,AVAIL.ARCH.1,Availability & Reliability,1,Single instance and single region designs,"Many systems rely on a single instance, data store or site. Failures of a single component can lead to full service outages. Resilience is mostly based on hardware reliability and manual interventions."
AVAIL.ARCH.2,AVAIL.ARCH.2,Availability & Reliability,2,Basic redundancy for critical components,"Some critical components have redundancy, such as simple clustering or replication. Failover is possible but may be manual or untested. Dependencies and single points of failure are not systematically documented."
AVAIL.ARCH.3,AVAIL.ARCH.3,Availability & Reliability,3,Resilience patterns used for key services,"Important services use resilience patterns such as multi availability zone deployments, connection pooling and retry logic. Dependencies are mapped and obvious single points of failure are addressed. Architectural standards mention resilience expectations for new services."
AVAIL.ARCH.4,AVAIL.ARCH.4,Availability & Reliability,4,Designed for graceful degradation and failover,"Services are designed to degrade gracefully under failure or overload, for example by limiting non essential features. Multi region or multi provider strategies are used where justified. Failover mechanisms are tested regularly and measured for time to recover."
AVAIL.ARCH.5,AVAIL.ARCH.5,Availability & Reliability,5,Systemic reliability engineering,"Resilience engineering practices such as chaos testing and failure analysis are used to understand how systems behave under stress. Architectural decisions consider systemic risks like common mode failures, shared control planes and complex dependency chains. The organisation can show how resilience patterns have reduced the impact of real incidents."
AVAIL.INC.1,AVAIL.INC.1,Availability & Reliability,1,Ad hoc incident handling,"When an outage occurs, people scramble informally to fix it. There is no clear incident owner, communication plan or consistent logging of what happened. Learnings are often lost."
AVAIL.INC.2,AVAIL.INC.2,Availability & Reliability,2,Basic incident process for major outages,Major incidents follow a simple process with an incident manager and communication to stakeholders. Some incidents are recorded in a shared tool. On call arrangements exist but are not always clear or documented for all services.
AVAIL.INC.3,AVAIL.INC.3,Availability & Reliability,3,Structured incident management and on call,"There is a defined incident management process with severity levels, roles and communication templates. On call rotas and escalation paths are documented and tested. Post incident reviews happen for significant outages, with actions tracked to completion."
AVAIL.INC.4,AVAIL.INC.4,Availability & Reliability,4,Integrated incident command and observability,"Incident responders have access to shared dashboards, logs and runbooks to diagnose issues quickly. Incidents are correlated across systems and channels. Business stakeholders receive timely, accurate updates and can help prioritise recovery steps."
AVAIL.INC.5,AVAIL.INC.5,Availability & Reliability,5,Continuous improvement from availability incidents,"Incident data is analysed to identify systemic issues and improvement themes. The organisation runs game days and simulations to rehearse response to complex failures. On call and incident work is recognised, measured and managed to avoid burnout."
AVAIL.RECOV.1,AVAIL.RECOV.1,Availability & Reliability,1,"Ad hoc backups, rarely tested",Some backups exist but are not consistently configured or documented. Recovery time and data loss in a severe incident are largely unknown. Restores are rare and often fail when needed.
AVAIL.RECOV.2,AVAIL.RECOV.2,Availability & Reliability,2,Basic backup policy for key data,"Critical databases and file stores are backed up on a schedule. Retention periods are defined in a simple policy. Periodic test restores are carried out, but not always documented or aligned to business recovery needs."
AVAIL.RECOV.3,AVAIL.RECOV.3,Availability & Reliability,3,Defined recovery objectives and tested restores,"Recovery time and recovery point objectives are agreed for key services. Backup and restore procedures are documented and tested at least annually. Results of tests are recorded, with remediation actions assigned where gaps are found."
AVAIL.RECOV.4,AVAIL.RECOV.4,Availability & Reliability,4,Integrated continuity and recovery planning,"Business continuity, disaster recovery and IT recovery plans are aligned and exercised together. Secondary sites, regions or alternative channels are available for critical services. The organisation can demonstrate that recovery capabilities keep pace with changes in architecture and data volumes."
AVAIL.RECOV.5,AVAIL.RECOV.5,Availability & Reliability,5,Adaptive continuity and recovery capabilities,"Recovery plans are regularly updated based on scenarios, incidents and changes in the external environment. Dependencies on third parties and shared services are understood and included in exercises. The organisation participates in sector or ecosystem level resilience exercises where relevant."
AVAIL.CHANGE.1,AVAIL.CHANGE.1,Availability & Reliability,1,Changes made directly in production,"Some system changes, including configuration and database updates, are made directly in production. There is little formal assessment of availability risk before deployment. Outages caused by changes are common."
AVAIL.CHANGE.2,AVAIL.CHANGE.2,Availability & Reliability,2,Basic change approvals for high risk work,"A change advisory process exists for higher risk changes, often focusing on infrastructure. Assessment of availability impact is largely subjective. Rollback plans are requested but not always detailed."
AVAIL.CHANGE.3,AVAIL.CHANGE.3,Availability & Reliability,3,Standard change types and deployment windows,"Common low risk changes follow a streamlined process, while higher risk changes get more scrutiny. Deployment windows are chosen to reduce customer impact. Change success and failure rates are monitored."
AVAIL.CHANGE.4,AVAIL.CHANGE.4,Availability & Reliability,4,Engineering led change risk mitigation,"Engineering teams use techniques like staging, configuration as code and automated tests to reduce change risk. Change risk assessments explicitly reference SLOs, dependencies and blast radius. Rollback and mitigation steps are rehearsed for critical changes."
AVAIL.CHANGE.5,AVAIL.CHANGE.5,Availability & Reliability,5,"Dynamic, data informed change control","Change policies adapt based on real world risk and performance. For example, services with a good change history and strong guardrails get faster paths, while fragile systems receive additional controls. The organisation can show how change governance supports both reliability and delivery speed."
SEC.GOV.1,SEC.GOV.1,Security & Safety,1,Implicit security responsibilities,Security is seen as an IT or compliance issue handled by a small team. Roles and responsibilities are not clearly documented. Decisions are often reactive to audit findings or incidents.
